##SICS ASCII at ZEBRA
instrument             = ZEBRA
title                  = Magnetic ordering in ErB2
comment                = T-dep 010
sample                 = 
user                   = M. Stekiel, W. Simeth
ProposalID             = 20212466
original_filename      = /home/zebra/nicosdata/zebra/data/2022/20212466/zebra2022n001820.dat
date                   = 2022-06-17 11:27:36
zebramode              = bi

#scan center
omega           = 11.050
omega_raw       = 11.050
2-theta         = 23.889
chi             = 187.804
phi             = 139.699
nu              = 0.151
temp            = 9.03287
mf              = UNKNOWN

#scan parameters
UB=(-0.0639, 0.26555, -0.028174, -0.324262, -0.2252, -0.085679, -0.1195, -0.04772, 0.24755)
a                      = 3.256
b                      = 3.256
c                      = 3.7955
alpha                  = 90.0
beta                   = 90.0
gamma                  = 120.0
wavelength             = 1.178
cex1                   = 47.860
cex2                   = 84.860
mexz                   = 547.439
moml                   = -99.902
mcvl                   = 2.200
momu                   = -13.148
mcvu                   = 158.600
detectorDistance       = 539.044
snv                    = 0.042
snh                    = 0.042
snvm                    = 1.000
snhm                    = 1.000
s1vt                    = 9.999
s1vb                    = 10.001
s1hr                    = 9.999
s1hl                    = 1.001
s2vt                    = 8.001
s2vb                    = 11.001
s2hr                    = 3.001
s2hl                    = 3.001


#data
Scanning Variables: om, Steps: 0.05999999999999872
23 Points, Mode: Monitor, Preset 5000.000000
NP  om       Counts     Monitor1   Time       
0   11.0500   7.000      5000.000   1.662      
1   11.1100   13.000     5000.000   1.678      
2   11.1700   10.000     5000.000   1.654      
3   11.2300   9.000      5000.000   1.673      
4   11.2900   16.000     5000.000   1.640      
5   11.3500   33.000     5000.000   1.710      
6   11.4100   109.000    5000.000   1.647      
7   11.4700   233.000    5000.000   1.643      
8   11.5300   475.000    5000.000   1.692      
9   11.5900   711.000    5000.000   1.690      
10  11.6500   977.000    5000.000   1.667      
11  11.7100   1167.000   5000.000   1.672      
12  11.7700   1153.000   5000.000   1.697      
13  11.8300   568.000    5000.000   1.639      
14  11.8900   210.000    5000.000   1.686      
15  11.9500   91.000     5000.000   1.649      
16  12.0100   21.000     5000.000   1.628      
17  12.0700   9.000      5000.000   1.633      
18  12.1300   15.000     5000.000   1.693      
19  12.1900   7.000      5000.000   1.693      
20  12.2500   11.000     5000.000   1.662      
21  12.3100   2.000      5000.000   1.653      
22  12.3700   5.000      5000.000   1.700      
END-OF-DATA
